Image;Minimum;Maximum;Squared Dynamic Range;Mean;Standard Deviation;Variance;Skewness;Kurtosis;92.5 Percentile;85 Percentile;15 Percentile;7.5 Percentile;Interquartile Range;Median;Shannon Entropy;Bins Entropy;Normalized Energy;Root Mean Square;Mean Absolute Deviation;Robust Mean Absolute Deviaton;label
Img100;16;240;50176;134,0309527;50,9211456;2592,963069;-0,115005004;1,510647819;208;192;64;64;96;144;3,218712267;3,218712267;20557,25935;143,3780295;46,76575184;128,9466578;1
Img101;16;224;43264;142,5526577;58,2457983;3392,57302;-0,532356652;1,653413636;208;192;64;48;112;160;3,09153129;3,09153129;23713,83323;153,9929649;52,23083758;142,2309392;1
Img102;16;240;50176;130,1796216;49,0732105;2408,179988;0,002208715;1,830503396;208;192;64;64;96;128;3,408608297;3,408608297;19354,91387;139,1219389;41,93665794;126,7709903;1
Img103;32;240;43264;126,8038311;44,85793541;2012,234369;0,176274101;2,135162298;192;176;80;64;64;128;3,442464074;3,442464074;18091,44595;134,5044458;37,7613636;124,3097038;1
Img104;32;240;43264;127,4138649;42,25744707;1785,691833;0,34776758;2,240428161;192;176;80;80;64;128;3,338513138;3,338513138;18019,98479;134,2385369;35,49996278;127,4049754;1
Img105;16;240;50176;126,1053176;45,10669212;2034,613674;0,171132757;2,218342322;192;176;80;64;64;128;3,479461075;3,479461075;17937,16479;133,9297009;37,76232636;124,045704;1
Img106;32;240;43264;127,3115405;43,27058346;1872,343393;0,373425285;2,250212437;192;176;80;64;64;128;3,370926161;3,370926161;18080,57175;134,4640166;36,29264942;127,392625;1
Img107;16;240;50176;126,4670225;45,31710134;2053,639674;0,214863544;2,143979372;192;176;80;64;64;128;3,451509924;3,451509924;18047,54746;134,3411607;38,12267034;123,3033311;1
Img108;32;240;43264;125,0439505;42,61939758;1816,41305;0,372205616;2,236865679;192;176;80;64;64;128;3,342281454;3,342281454;17452,40259;132,1075418;36,04740167;126,3211055;1
Img109;16;240;50176;125,1302658;45,45620379;2066,266463;0,181446411;2,230114147;192;176;80;64;80;128;3,489252316;3,489252316;17723,84987;133,1309501;38,09958607;123,3097711;1
Img110;16;240;50176;123,5050586;42,57166302;1812,346492;0,417796167;2,300331851;192;176;80;64;80;112;3,335340155;3,335340155;17065,84598;130,6363119;36,03936461;121,015613;1
Img111;16;240;50176;124,5758919;45,3935284;2060,572421;0,261571144;2,193228065;192;176;80;64;80;128;3,461432197;3,461432197;17579,72526;132,5885563;38,3307482;121,7837972;1
Img112;32;240;43264;125,6953266;43,28218256;1873,347327;0,404362055;2,271179974;192;176;80;64;64;128;3,359368816;3,359368816;17672,66245;132,9385665;36,4794455;126,1768486;1
Img113;16;240;50176;124,5455563;44,91401243;2017,268512;0,278164174;2,208095161;192;176;80;64;80;128;3,441168263;3,441168263;17528,86411;132,3966167;37,87669254;121,6132308;1
Img114;32;240;43264;126,3842072;43,20067512;1866,298331;0,381518408;2,268344559;192;176;80;64;64;128;3,369229591;3,369229591;17839,26616;133,5637157;36,29412956;126,8389375;1
Img115;32;240;43264;126,3921104;44,55505944;1985,153322;0,271780145;2,194217885;192;176;80;64;64;128;3,429542997;3,429542997;17960,11888;134,0153681;37,47903392;122,7381095;1
Img116;16;240;50176;127,0937658;42,08619299;1771,24764;0,378504886;2,285006559;192;176;80;80;64;128;3,336597075;3,336597075;17924,07294;133,8808162;35,29308424;127,2201407;1
Img117;16;240;50176;126,1655203;44,02802362;1938,466864;0,231823047;2,230409984;192;176;80;64;64;128;3,434507291;3,434507291;17856,20537;133,6271132;36,8104748;123,3521482;1
